CUST_NO,VTG,AGETIER,EDUCATION_DESC,GENDER,EOP_BAL_CS,MTH_AVG_BAL_CS,MTH6_AVG_BAL_CS,DELTA_FUNDING_BALANCE,MTH_AVG_BAL_IDR,MTH6_AVG_BAL_IDR,DELTA_FUNDING_BALANCE_TD,AVG_CREDIT_3MTH,SUM_CREDIT_LESS_3MIL,SUM_CREDIT_ZERO,DELTA_CREDIT_MUTATION,DELTA_DEBIT_MUTATION,AVG_DEBIT_3MTH,CUST_SEGMENT_AVG,DELTA_CUST_SEG,L_COLL,BAD_TAG
4967558.6,6-10 th,21-30 th,AKADEMI,L,1085096.18,3014863.64,1776568.268,2002694.923,3014863.64,1776568.268,2002694.923,9767639.27,0,0,633688.09,9544906.563,10317837.16,5,0,0,0
5012362.2,6-10 th,31-40 th,UNIVERSITAS,L,10515759.44,6836911.3,4365345.39,-466369.9133,6836911.3,4365345.39,-466369.9133,8277839.187,0,0,-3102735.117,435296.76,6295230.01,4,0,0,0
5011046.6,6-10 th,21-30 th,UNIVERSITAS,P,11310210.65,12200497.24,20288865.48,31559285.67,12200497.24,20288865.48,31559285.67,39320361.29,0,0,6123125.027,14300894.1,40374835.24,4,0,0,0
5026899.8,6-10 th,21-30 th,SMA,P,12403689.41,6227873.75,4835621.53,1299856.833,6227873.75,4835621.53,1299856.833,20062627.23,0,0,-4705974.633,-662877.81,17355636,4,0,0,0
5063442,6-10 th,21-30 th,UNIVERSITAS,L,2817455.08,1491611.64,2805755.598,1254128.997,1491611.64,2805755.598,1254128.997,7688011.893,1,0,-2058382.853,-683939.26,7929032,5,0,0,0
5079558,6-10 th,31-40 th,UNIVERSITAS,L,1678470.95,287445.2,588800.4667,-175361.03,287445.2,588800.4667,-175361.03,15002128.33,0,0,-2243388.333,3958401,14563099,5,0,0,0
5073943.8,6-10 th,21-30 th,SMA,L,4372082.57,1634018.82,2905663.885,605673.55,1634018.82,2905663.885,605673.55,9932792.103,0,0,-4009480.393,-2526697.517,10996951.99,5,0,0,0
5085735,6-10 th,21-30 th,UNIVERSITAS,L,6488230.22,6311040.77,3347174.41,-1337088.54,6311040.77,3347174.41,-1337088.54,11474289.84,0,0,-5070902.44,-1497533.12,9976358,4,0,0,0
5095035.6,6-10 th,31-40 th,AKADEMI,L,42158.2,6137314.91,6378441.832,861152.47,6137314.91,6378441.832,861152.47,15771049.59,1,0,29584087.64,29447212.45,15909415,4,-1,0,0
5203350.2,6-10 th,21-30 th,UNIVERSITAS,L,514379.69,33347365.26,23894875.65,-2091125.73,33347365.26,23894875.65,-2091125.73,37676898.66,0,0,1262926.247,-22844292.73,46180484.49,4,-1,0,0
5197238.8,6-10 th,21-30 th,AKADEMI,L,5206299.87,13299624.22,10062301.02,-15199532.46,13299624.22,10062301.02,-15199532.46,13545931.82,2,0,-11145931.82,-15819686.3,17021186.3,4,0,0,0
5212114,6-10 th,41-50 th,SD,L,1951146696,2319387856,2749532620,-366281247.3,2329387856,2759532620,-366281247.3,474812932.2,0,0,168772588.2,-171339933.8,735106478.1,2,0,1,0
5199856,6-10 th,21-30 th,SMA,L,11525343.49,3990624.58,3710553.963,-827920.7267,3990624.58,3710553.963,-827920.7267,18936035.51,0,0,-10147338.67,-6044430.15,16742344.52,5,1,0,0
5137721.6,6-10 th,21-30 th,UNIVERSITAS,P,180440.52,458358.26,603286.9783,266859.1933,458358.26,603286.9783,266859.1933,10983433.33,0,0,-3244173.333,-3782403.667,11487209.67,5,0,0,0
5134051.2,6-10 th,21-30 th,UNIVERSITAS,L,3436081.08,4856000.72,2845697.715,-1717863.263,4856000.72,2845697.715,-1717863.263,10694029.98,0,0,-4598080.813,-1841245.64,10471221,5,0,0,0
5191805,6-10 th,31-40 th,SMA,L,3517351.06,1558191.84,2540162.937,-686499.5267,1558191.84,2540162.937,-686499.5267,30189705.34,0,0,-22289086.52,-24588173.77,31761683.33,5,0,0,0
5177124.4,6-10 th,21-30 th,SMA,L,6985192.57,3441146.22,2079350.372,-462668.3933,3441146.22,2079350.372,-462668.3933,10791763.56,0,0,-4936792.557,-7861715.613,9372065.613,5,1,0,0
5249956.4,6-10 th,41-50 th,AKADEMI,L,283874.82,589242.56,548342.2,65306.09333,589242.56,548342.2,65306.09333,33363333.33,0,0,-21863333.33,-21967033.33,34143533.33,5,0,0,1
5261588,6-10 th,21-30 th,UNIVERSITAS,P,4389616.29,918990.77,528203.73,160325.4833,918990.77,528203.73,160325.4833,11203066.67,0,0,-4853066.667,-3641428,10000428,5,0,0,0
5330243.2,6-10 th,41-50 th,SMP,L,422469.44,488275.89,3142129.953,1238096.573,488275.89,3142129.953,1238096.573,6083971.497,2,0,-5682325.687,-1199333.333,6568333.333,5,0,0,0
5348949.8,6-10 th,41-50 th,AKADEMI,L,186387.04,79935.42,244350.7967,930401.5633,79935.42,244350.7967,930401.5633,6405500,0,0,590509,640172.6667,6422333.333,5,0,0,0
